BEGIN;
BEGIN
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#25'
	and p_type not like 'LARGE BURNISHED%'
	and p_size in (15, 25, 2, 16, 37, 21, 3, 6)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#12   | MEDIUM POLISHED NICKEL    |      3 |          607
 Brand#11   | ECONOMY PLATED STEEL      |     37 |          600
 Brand#54   | ECONOMY BURNISHED TIN     |      6 |          592
 Brand#14   | STANDARD ANODIZED NICKEL  |     15 |          584
 Brand#11   | MEDIUM BURNISHED COPPER   |      6 |          583
 Brand#41   | MEDIUM BRUSHED COPPER     |     15 |          583
 Brand#32   | SMALL ANODIZED NICKEL     |     15 |          576
 Brand#13   | LARGE PLATED TIN          |     16 |          575
 Brand#33   | LARGE PLATED BRASS        |     16 |          575
 Brand#23   | ECONOMY BRUSHED BRASS     |      2 |          572
 Brand#55   | PROMO BURNISHED NICKEL    |      2 |          572
 Brand#33   | PROMO ANODIZED STEEL      |      6 |          571
 Brand#34   | ECONOMY ANODIZED COPPER   |     15 |          571
 Brand#41   | STANDARD BRUSHED STEEL    |     25 |          568
 Brand#42   | MEDIUM POLISHED TIN       |     25 |          568
 Brand#52   | LARGE POLISHED NICKEL     |     15 |          568
 Brand#54   | STANDARD PLATED TIN       |     15 |          568
 Brand#44   | SMALL PLATED COPPER       |      2 |          566
 Brand#41   | SMALL PLATED COPPER       |      3 |          564
 Brand#43   | STANDARD POLISHED COPPER  |      6 |          564
 Brand#11   | ECONOMY PLATED NICKEL     |     25 |          563
 Brand#14   | SMALL BRUSHED BRASS       |     37 |          563
 Brand#23   | ECONOMY PLATED NICKEL     |      3 |          563
 Brand#34   | PROMO ANODIZED STEEL      |     16 |          562
 Brand#15   | LARGE BRUSHED BRASS       |      2 |          560
 Brand#23   | PROMO ANODIZED STEEL      |      2 |          560
 Brand#52   | MEDIUM ANODIZED TIN       |      6 |          560
 Brand#53   | LARGE PLATED TIN          |      2 |          560
 Brand#21   | MEDIUM ANODIZED NICKEL    |     21 |          559
 Brand#24   | SMALL ANODIZED NICKEL     |      3 |          559
 Brand#32   | PROMO BURNISHED NICKEL    |     16 |          559
 Brand#21   | SMALL BURNISHED STEEL     |     21 |          556
 Brand#31   | PROMO BURNISHED COPPER    |     25 |          556
 Brand#32   | PROMO PLATED COPPER       |     16 |          556
 Brand#34   | MEDIUM BURNISHED COPPER   |      3 |          556
 Brand#42   | SMALL ANODIZED COPPER     |      2 |          556
 Brand#51   | SMALL PLATED TIN          |      2 |          556
 Brand#54   | STANDARD BRUSHED STEEL    |      2 |          556
 Brand#22   | STANDARD BURNISHED COPPER |      2 |          555
 Brand#31   | PROMO ANODIZED TIN        |      3 |          555
 Brand#51   | SMALL PLATED STEEL        |     37 |          555
 Brand#54   | MEDIUM PLATED STEEL       |     37 |          553
 Brand#31   | MEDIUM POLISHED STEEL     |     37 |          552
 Brand#34   | PROMO ANODIZED STEEL      |     21 |          552
 Brand#34   | PROMO PLATED BRASS        |      6 |          552
 Brand#34   | SMALL PLATED NICKEL       |      3 |          552
 Brand#41   | PROMO BURNISHED BRASS     |     16 |          552
