BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'VIETNAM'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000010000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'VIETNAM'
		)
order by
	value desc;
 ps_partkey |      value       
------------+------------------
   18103904 | 25047860.4663696
   17645574 | 24354377.1763611
   11843388 | 24282150.1133423
    7095264 | 22188834.0644531
   15363990 | 22100234.8717041
    8775190 | 21553064.1483765
    5911656 | 20784869.1930542
   12714656 | 20572835.8513184
    8809771 | 20436255.3548584
   19767615 | 20219396.7479248
   15054612 |  20062585.072937
    6146548 | 20034376.0231323
    1155993 | 19814496.4840698
   13931561 | 19704712.6419678
   18889762 | 19682516.2579346
   11226254 | 19586203.8258667
    1012767 | 19375173.4528809
    6642713 | 19245261.4876709
    5505270 | 19202797.4608765
   19729079 | 18912852.5803833
   11401075 | 18902722.9758911
   19764518 | 18887568.5305176
    5648885 | 18838417.7904663
    5944252 | 18837499.8276367
   18711804 | 18815626.4343872
   13146745 | 18758763.4038696
   13160886 | 18610346.6876221
    6657534 | 18566452.9460144
   14313863 | 18541651.5532837
    1656376 | 18535940.4674683
    2366639 | 18512228.3392334
   18412565 | 18504764.4171753
   10383139 | 18458010.5754395
    8511544 |  18430709.300354
   18805740 | 18406550.9287109
    1329082 | 18395761.1901245
   18279309 | 18372626.1616211
   13086089 | 18364414.4572754
   11741882 | 18309581.8238525
   19337458 | 18273842.3688354
   14907210 |  18269867.206543
   18633182 | 18236835.6655273
   19159694 | 18164889.9797363
    7069205 | 18153114.5386963
    3155084 | 18114757.1342163
   18506483 | 18072771.8079834
   15254160 | 18057780.7280273
    4269323 | 18025764.4837646
   19614708 | 17940485.9405518
   11011480 | 17891978.9800415
    3680081 | 17880758.0825806
   15167875 |  17851345.928772
    1443759 | 17843254.1847534
   15212106 | 17822095.6884766
   11022836 | 17815785.3150635
    7785502 | 17809277.8596191
   15654302 | 17805812.6816406
   14719873 | 17794074.1676025
    8871900 | 17772073.5787659
   15025141 | 17762125.9969482
   15756532 | 17756841.9003296
   19256245 | 17725439.1775513
   12242626 | 17710877.5233765
   19990869 | 17670212.6665039
    9942190 | 17668040.0092773
   10222299 | 17666287.3139648
    9454539 |  17665845.088623
    3436731 | 17665377.6715088
   14012439 | 17628931.1815186
    2522703 |  17622731.069458
     374070 | 17617828.7443237
    3863826 | 17615752.4334717
    8765091 | 17609561.0551758
   16478351 |  17602549.078064
   17250808 | 17600844.5838623
    5904504 | 17587427.2952271
    8125218 | 17572168.0606689
   12503780 | 17556639.2971191
   16141956 |  17512942.434021
    6765349 | 17467826.8727722
   17722911 | 17464193.6806641
   17368355 | 17460764.9614868
   12135435 | 17434466.9212646
     832978 | 17425393.9771729
   17357071 | 17422477.2473145
    9361961 | 17393999.4154663
   19029154 | 17385092.9413452
    3504784 | 17384033.2844238
   16960891 | 17362182.7995605
    9970197 | 17359703.9093018
   18458375 | 17348514.2630615
   13094879 | 17338963.6439819
    8255264 | 17330793.0567017
   15718436 | 17303628.0297241
    6613245 | 17291112.6656494
    3760784 | 17273472.1177368
    3648242 | 17252673.0163574
   15028950 |  17225250.490448
    4019071 | 17221628.5608521
    4961807 | 17219981.6912231
    6020243 |  17209148.215332
   10764597 | 17200472.4968262
    4182866 | 17198438.2200928
    9477288 | 17182699.0952148
    1472895 | 17180743.8890381
   14156662 | 17168487.4595337
   16271760 | 17158255.3921509
    2372370 | 17133579.2664795
    4798796 | 17117446.7062988
   14853758 | 17089807.1104126
   11720483 | 17085184.4065552
   17705371 | 17078018.8065186
   13964301 | 17075641.6066284
    4292469 | 17074969.9212036
   12029479 | 17070019.4351196
     834713 | 17062714.7580566
   15720354 | 17047568.9580078
    9549056 | 17041586.3878174
    3760637 | 17034988.4373779
    3935499 | 17032967.9082642
    9162748 | 17024329.8452759
    9763734 | 17020147.6959229
   14600765 | 17009241.0823364
   18643814 | 17003879.5809326
    6883390 | 16990111.6713867
    7717046 | 16987436.4119873
   13332179 | 16977252.1812744
    7046843 | 16968011.6416626
   17051297 | 16963630.3623657
   16228335 | 16960514.6113281
    5736229 | 16955868.0155029
   13697181 | 16947905.9436035
    7211713 | 16922664.5070801
    8114346 | 16916425.5006714
    8339832 | 16915669.4244995
   14573923 | 16899714.4954834
    4150175 | 16896873.2456055
   10500386 | 16896382.8024902
   11241860 |  16886694.206604
    3083804 | 16886490.9464111
   11826450 | 16871968.1528931
      49431 | 16868935.8988037
   13383362 | 16857059.5117188
    2294547 | 16848781.7903442
    4733793 | 16834681.8545532
   18630204 | 16832660.2658081
    4221842 | 16832360.6063843
   11074735 | 16830746.3847656
    8549745 | 16829983.5524292
   13402330 | 16827752.9141846
   18558255 | 16823780.5447388
    1204710 | 16822039.9373779
   15667629 | 16817845.9857788
   19429820 | 16800132.5431519
   10368077 |  16780605.447876
     481764 | 16780050.0529785
    8379611 | 16777693.0932617
   13933080 | 16772245.0649414
   17871819 | 16769996.2573242
   14134487 | 16767676.4241943
   19251418 | 16753526.0634155
   13803359 | 16753181.2887573
   11070669 |  16751592.526062
    9235840 | 16746017.0236206
   17683398 | 16736740.0181274
    5237868 | 16729837.0415649
