BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%navy%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |    sum_profit    
---------------------------+--------+------------------
 ALGERIA                   |   1998 | 2731987685.85732
 ALGERIA                   |   1997 | 4696837801.69509
 ALGERIA                   |   1996 | 4675095168.45125
 ALGERIA                   |   1995 | 4673860439.38183
 ALGERIA                   |   1994 | 4663693912.27181
 ALGERIA                   |   1993 | 4663367516.06084
 ALGERIA                   |   1992 | 4647930936.19684
 ARGENTINA                 |   1998 |  2721751775.6043
 ARGENTINA                 |   1997 | 4636265891.04936
 ARGENTINA                 |   1996 | 4666084527.27317
 ARGENTINA                 |   1995 | 4621104707.63796
 ARGENTINA                 |   1994 | 4665987855.47055
 ARGENTINA                 |   1993 | 4642378470.70225
 ARGENTINA                 |   1992 | 4640328329.53944
 BRAZIL                    |   1998 | 2751748681.59606
 BRAZIL                    |   1997 | 4694927124.35552
 BRAZIL                    |   1996 | 4705092725.91512
 BRAZIL                    |   1995 | 4671141776.40515
 BRAZIL                    |   1994 | 4650439311.00885
 BRAZIL                    |   1993 | 4679470581.79002
 BRAZIL                    |   1992 | 4680116213.76593
 CANADA                    |   1998 |  2730053949.9911
 CANADA                    |   1997 | 4679526029.43176
 CANADA                    |   1996 | 4712991106.87449
 CANADA                    |   1995 | 4694065662.32093
 CANADA                    |   1994 | 4686096059.80066
 CANADA                    |   1993 | 4666269258.96769
 CANADA                    |   1992 | 4714792244.18247
 CHINA                     |   1998 | 2741890885.99901
 CHINA                     |   1997 | 4670746184.76871
 CHINA                     |   1996 | 4671821023.99858
 CHINA                     |   1995 |  4655553663.6141
 CHINA                     |   1994 | 4654412298.11057
 CHINA                     |   1993 | 4677539701.37466
 CHINA                     |   1992 | 4682348576.64162
 EGYPT                     |   1998 |  2726185608.0858
 EGYPT                     |   1997 | 4667685936.49156
 EGYPT                     |   1996 | 4678060635.68713
 EGYPT                     |   1995 | 4672295308.91916
 EGYPT                     |   1994 | 4643042072.33353
 EGYPT                     |   1993 |   4677077285.673
 EGYPT                     |   1992 | 4690079615.64545
 ETHIOPIA                  |   1998 | 2784601351.72531
 ETHIOPIA                  |   1997 | 4738165426.72497
 ETHIOPIA                  |   1996 | 4760471956.69039
 ETHIOPIA                  |   1995 | 4751514351.15042
 ETHIOPIA                  |   1994 |   4746411273.521
 ETHIOPIA                  |   1993 | 4738639736.15353
 ETHIOPIA                  |   1992 | 4750390423.52415
 FRANCE                    |   1998 | 2738049222.34857
 FRANCE                    |   1997 | 4688615076.27821
 FRANCE                    |   1996 | 4717640708.35933
 FRANCE                    |   1995 | 4675442371.50616
 FRANCE                    |   1994 | 4705242179.50911
 FRANCE                    |   1993 | 4680395157.54546
 FRANCE                    |   1992 | 4720625071.53339
 GERMANY                   |   1998 | 2732711667.58414
 GERMANY                   |   1997 | 4681393687.64597
 GERMANY                   |   1996 | 4698614582.33712
 GERMANY                   |   1995 | 4695791861.20064
 GERMANY                   |   1994 | 4678151972.55077
 GERMANY                   |   1993 | 4696776805.61197
 GERMANY                   |   1992 | 4674566148.37303
 INDIA                     |   1998 | 2739944221.77348
 INDIA                     |   1997 | 4660242858.86165
 INDIA                     |   1996 | 4681876938.33608
 INDIA                     |   1995 | 4668902350.38172
 INDIA                     |   1994 |  4644093070.6251
 INDIA                     |   1993 | 4682198416.38255
 INDIA                     |   1992 | 4675900254.51755
 INDONESIA                 |   1998 |   2723791706.457
 INDONESIA                 |   1997 |   4627698842.306
 INDONESIA                 |   1996 | 4607441967.47784
 INDONESIA                 |   1995 | 4631089952.97967
 INDONESIA                 |   1994 | 4619460318.19142
 INDONESIA                 |   1993 | 4644227316.64849
 INDONESIA                 |   1992 | 4620312430.18886
 IRAN                      |   1998 | 2732997462.04171
 IRAN                      |   1997 | 4656758158.51775
 IRAN                      |   1996 | 4685373961.23777
 IRAN                      |   1995 | 4680919263.78048
 IRAN                      |   1994 | 4666844136.48688
 IRAN                      |   1993 | 4694187402.79989
 IRAN                      |   1992 | 4688563213.55579
 IRAQ                      |   1998 | 2742872811.15064
 IRAQ                      |   1997 | 4647611388.45921
 IRAQ                      |   1996 | 4639762338.27342
 IRAQ                      |   1995 | 4637671380.00561
 IRAQ                      |   1994 | 4653482952.57005
 IRAQ                      |   1993 | 4633767142.87328
 IRAQ                      |   1992 | 4647725461.97945
 JAPAN                     |   1998 |  2733383806.7611
 JAPAN                     |   1997 | 4646800336.55569
 JAPAN                     |   1996 | 4651068022.53244
 JAPAN                     |   1995 |  4629794910.0771
 JAPAN                     |   1994 | 4646349646.36085
 JAPAN                     |   1993 | 4666683420.23234
 JAPAN                     |   1992 | 4641874415.85385
 JORDAN                    |   1998 |  2718070287.9084
 JORDAN                    |   1997 | 4639764241.27752
 JORDAN                    |   1996 | 4659110010.87209
 JORDAN                    |   1995 | 4638700927.59254
 JORDAN                    |   1994 | 4650832736.83634
 JORDAN                    |   1993 | 4646182266.04191
 JORDAN                    |   1992 | 4668197356.53841
 KENYA                     |   1998 | 2723563569.26202
 KENYA                     |   1997 | 4614151005.46884
 KENYA                     |   1996 | 4653036132.58438
 KENYA                     |   1995 | 4633958119.20796
 KENYA                     |   1994 | 4613935391.61747
 KENYA                     |   1993 | 4632949292.04859
 KENYA                     |   1992 | 4645623174.58058
 MOROCCO                   |   1998 | 2764002233.11546
 MOROCCO                   |   1997 | 4736004052.08602
 MOROCCO                   |   1996 | 4726902355.45572
 MOROCCO                   |   1995 | 4715413451.92637
 MOROCCO                   |   1994 | 4728361488.20725
 MOROCCO                   |   1993 | 4703744593.30017
 MOROCCO                   |   1992 | 4713410663.17398
 MOZAMBIQUE                |   1998 | 2761914846.26913
 MOZAMBIQUE                |   1997 | 4701057290.08136
 MOZAMBIQUE                |   1996 | 4717705041.19592
 MOZAMBIQUE                |   1995 | 4714054529.19303
 MOZAMBIQUE                |   1994 |  4721829670.7029
 MOZAMBIQUE                |   1993 | 4713879960.20365
 MOZAMBIQUE                |   1992 | 4704667932.99512
 PERU                      |   1998 | 2717946145.21668
 PERU                      |   1997 | 4641808264.17577
 PERU                      |   1996 | 4656751076.39448
 PERU                      |   1995 | 4657847394.53922
 PERU                      |   1994 | 4646160396.35838
 PERU                      |   1993 | 4637722502.92565
 PERU                      |   1992 | 4667514958.06794
 ROMANIA                   |   1998 | 2727501924.18557
 ROMANIA                   |   1997 |  4699480855.1282
 ROMANIA                   |   1996 | 4676065573.21111
 ROMANIA                   |   1995 | 4691826458.10228
 ROMANIA                   |   1994 | 4682171261.29989
 ROMANIA                   |   1993 | 4695459454.21576
 ROMANIA                   |   1992 | 4702081100.46641
 RUSSIA                    |   1998 | 2738235661.56632
 RUSSIA                    |   1997 | 4680893173.57632
 RUSSIA                    |   1996 | 4684358411.23061
 RUSSIA                    |   1995 | 4688640262.37064
 RUSSIA                    |   1994 | 4667277484.96245
 RUSSIA                    |   1993 | 4676960743.99297
 RUSSIA                    |   1992 | 4688379477.65576
 SAUDI ARABIA              |   1998 | 2725010801.75755
 SAUDI ARABIA              |   1997 | 4671579686.74591
 SAUDI ARABIA              |   1996 |  4693755147.1023
 SAUDI ARABIA              |   1995 | 4660615013.12133
 SAUDI ARABIA              |   1994 | 4674187462.09573
 SAUDI ARABIA              |   1993 | 4662213346.21837
 SAUDI ARABIA              |   1992 | 4677061851.68416
 UNITED KINGDOM            |   1998 | 2765171462.16002
 UNITED KINGDOM            |   1997 | 4698940474.98167
 UNITED KINGDOM            |   1996 | 4717786841.83487
 UNITED KINGDOM            |   1995 | 4689894997.96788
 UNITED KINGDOM            |   1994 | 4710036648.77547
 UNITED KINGDOM            |   1993 |  4718320290.4967
 UNITED KINGDOM            |   1992 | 4720042775.18144
 UNITED STATES             |   1998 | 2738459742.95568
 UNITED STATES             |   1997 | 4680574416.11733
 UNITED STATES             |   1996 | 4680296215.73116
 UNITED STATES             |   1995 | 4680419796.68843
 UNITED STATES             |   1994 | 4691795566.72125
 UNITED STATES             |   1993 |  4669944199.2581
 UNITED STATES             |   1992 | 4679466381.13108
 VIETNAM                   |   1998 | 2752477496.98811
 VIETNAM                   |   1997 | 4681604328.79085
 VIETNAM                   |   1996 | 4694202423.70711
 VIETNAM                   |   1995 | 4691748269.74664
 VIETNAM                   |   1994 | 4709048900.50329
 VIETNAM                   |   1993 | 4685506131.92578
 VIETNAM                   |   1992 | 4698208728.14115
(175 rows)

COMMIT;
COMMIT
